Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Rk,salary,2026-27,2027-28,2028-29,2029-30,2030-31,Guaranteed,player_id,log_salary
Bobby Portis,29.0,MIL,PF,49.0,7.0,1244.0,17.7,0.542,0.299,0.123,8.2,27.0,18.0,12.9,1.4,1.9,8.3,24.1,0.9,1.9,2.7,0.106,0.6,-0.4,0.2,0.7,,136,13445754.0,14521414.0,15597074.0,,,,27967168.0,portibo01,16.41417392643992
Moussa Diabaté,23.0,CHO,C,71.0,8.0,1241.0,16.5,0.609,0.021,0.414,15.7,22.0,18.8,6.8,1.8,3.2,15.6,13.4,1.8,1.5,3.2,0.125,-1.4,-0.4,-1.9,0.0,,400,2270735.0,2461462.0,,,,,,diabamo01,14.635614125595643
Ben Sheppard,23.0,IND,SG,63.0,9.0,1229.0,9.2,0.555,0.693,0.094,4.0,12.0,8.0,8.6,1.5,1.0,6.9,11.3,1.0,1.0,2.1,0.081,-2.2,0.2,-2.0,0.0,,328,2790720.0,5031669.0,,,,,7822389.0,sheppbe01,14.841810185020758
Daniel Gafford,26.0,DAL,C,57.0,31.0,1226.0,24.7,0.716,0.0,0.486,14.1,20.3,17.2,10.2,0.9,7.1,11.9,19.5,4.4,1.5,5.9,0.232,2.7,1.1,3.8,1.8,,121,14386320.0,17263584.0,18126763.0,18989942.0,,,68766609.0,gaffoda01,16.481788313010235
Caleb Martin,29.0,DAL,SF,14.0,0.0,275.0,8.0,0.454,0.222,0.333,4.0,12.0,8.1,12.3,2.1,0.9,13.6,14.9,-0.2,0.2,0.0,0.008,-5.0,-0.3,-5.3,-0.2,,178,9594044.0,10001493.0,9371351.0,,,,19595537.0,martica02,16.07665304723334
Brandon Clarke,28.0,MEM,PF,64.0,18.0,1207.0,17.6,0.638,0.045,0.229,11.3,17.3,14.3,7.4,2.0,2.7,8.9,15.3,2.7,1.7,4.4,0.174,0.0,0.8,0.8,0.9,,144,12500000.0,12500000.0,,,,,25000000.0,clarkbr01,16.34123920227253
Deandre Ayton,26.0,POR,C,40.0,40.0,1206.0,17.7,0.583,0.068,0.128,10.9,26.0,18.2,8.5,1.2,2.9,12.2,19.4,1.2,1.6,2.8,0.113,-0.3,-0.4,-0.7,0.4,,70,33654814.0,8104000.0,,,,,25550814.0,aytonde01,17.33166666474402
Jarace Walker,21.0,IND,PF,75.0,5.0,1187.0,11.9,0.59,0.514,0.192,2.4,19.0,10.8,12.2,2.2,1.9,16.7,17.1,0.1,1.5,1.6,0.065,-1.8,0.8,-0.9,0.3,,222,6665520.0,8478542.0,,,,,15144062.0,walkeja02,15.712458528056459
Kawhi Leonard,33.0,LAC,SF,37.0,37.0,1180.0,20.5,0.589,0.305,0.194,3.4,17.4,10.5,16.4,2.5,1.4,9.6,27.7,1.5,1.9,3.5,0.141,2.5,0.6,3.1,1.5,,14,50000000.0,50300000.0,,,,,100300000.0,leonaka01,17.72753356339242
Nikola Jović,21.0,MIA,PF,46.0,10.0,1156.0,13.8,0.595,0.557,0.231,2.5,14.6,8.6,16.6,1.6,1.1,12.6,18.3,1.2,1.3,2.5,0.104,-0.3,0.6,0.3,0.7,,276,4445417.0,16200000.0,14904000.0,15096000.0,16200000.0,,66845417.0,jovicni01,15.307384235803292
